mean_x,std_x,min_x,max_x,mean_y,std_y,min_y,max_y,speed_mean,speed_std,acc_mean,acc_std,dom_freq,speed_energy,label,start_row,end_row
424.12,16.933564302886737,409.0,450.0,387.42,7.102365803026482,376.0,397.0,35.03351086533416,28.627401496617072,3.125,198.84922837416292,0.5,1840.431866454529,1,875,925
431.16,17.44174303216281,403.0,450.0,386.22,7.6348935814456516,375.0,397.0,53.604315879727984,38.790492637582496,-15.625,290.22149407822985,1.0,3345.2990203844624,1,900,950
417.78,15.277813979755088,403.0,449.0,383.06,5.017608992338881,375.0,397.0,46.58448548983526,35.51247262085997,43.75,279.578365579313,0.5,2372.366673838481,1,925,975
428.68,18.316593569766187,405.0,451.0,388.56,7.777300302804309,379.0,400.0,39.98364643690227,31.295894580740008,-40.625,218.3254809338571,1.0,1934.7161239884497,1,950,1000
428.94,18.854612167849012,403.0,451.0,387.5,8.920201791439473,374.0,400.0,49.4238626800441,30.737303033677893,-40.625,224.93488641160135,1.0,2088.0236591964153,1,975,1025
421.96,16.36699117125686,403.0,449.0,382.66,7.273541090830518,374.0,399.0,52.32657920583494,24.09728425809602,21.875,209.65466397149385,0.5,929.7226106150964,1,1000,1050
430.7,17.094151046483706,401.0,449.0,386.98,8.477004187801255,376.0,399.0,56.428579251671465,36.23107014204566,6.25,291.41358067186917,1.0,3132.0283457157084,1,1025,1075
425.76,18.614574934711776,401.0,451.0,386.52,7.846629849814505,377.0,400.0,59.9190095838416,45.45285789135266,0.0,349.38562148434215,1.0,3137.3352366252457,1,1050,1100
432.5,17.96023385148423,403.0,451.0,389.54,9.095515378470866,377.0,401.0,54.435708214101794,45.78349780465851,-62.5,277.7560755411121,1.0,5571.225852945785,1,1075,1125
427.46,18.446907599920372,403.0,450.0,388.52,8.528165101591314,376.0,401.0,52.175137144073915,39.8388009859368,50.0,230.57333432120896,1.0,2787.502563890938,1,1100,1150
428.1,19.136614120580475,403.0,453.0,388.9,8.595929269136642,376.0,403.0,65.48889134591309,43.966806914798696,-28.125,312.0152490263897,1.0,3101.487304531923,1,1125,1175
